date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,0,0,1
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,7,0,0,7
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,2,0,0,2
2020-03-11,4,0,0,4
2020-03-12,0,0,0,0
2020-03-13,63,0,0,63
2020-03-14,36,0,0,36
2020-03-15,56,1,0,55
2020-03-16,34,0,0,34
2020-03-17,20,0,0,20
2020-03-18,33,0,0,33
2020-03-19,9,0,0,9
2020-03-20,16,0,0,16
2020-03-21,23,0,0,23
2020-03-22,20,1,0,19
2020-03-23,26,0,0,26
2020-03-24,17,5,0,12
2020-03-25,35,1,1,33
2020-03-26,134,0,0,134
2020-03-27,37,3,0,34
2020-03-28,70,9,0,61
2020-03-29,34,0,2,32
2020-03-30,36,0,0,36
2020-03-31,30,6,1,23
2020-04-01,34,7,1,26
2020-04-02,79,12,6,61
2020-04-03,103,3,1,99
