date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,1
2020-03-09,4,0,0,4
2020-03-10,2,1,0,1
2020-03-11,2,0,0,2
2020-03-12,0,0,0,0
2020-03-13,7,0,0,7
2020-03-14,9,0,0,9
2020-03-15,4,0,0,4
2020-03-16,4,0,0,4
2020-03-17,15,0,0,15
2020-03-18,22,0,0,22
2020-03-19,15,0,0,15
2020-03-20,25,0,0,25
2020-03-21,13,0,0,13
2020-03-22,15,0,0,15
2020-03-23,41,0,0,41
2020-03-24,17,0,0,17
2020-03-25,24,0,0,24
2020-03-26,23,0,0,23
2020-03-27,36,0,0,36
2020-03-28,25,0,0,25
2020-03-29,42,0,0,42
2020-03-30,29,0,0,29
2020-03-31,22,0,0,22
2020-04-01,48,0,0,48
2020-04-02,12,30,0,-18
2020-04-03,35,-30,1,64
