date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,6,0,0,6
2020-03-02,0,0,0,0
2020-03-03,1,0,0,1
2020-03-04,3,0,0,3
2020-03-05,3,0,0,3
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,0,0,0,0
2020-03-11,2,0,0,2
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,11,0,2,9
2020-03-15,0,0,0,0
2020-03-16,9,0,0,9
2020-03-17,21,0,0,21
2020-03-18,53,0,0,53
2020-03-19,88,0,1,87
2020-03-20,168,0,2,166
2020-03-21,139,3,2,134
2020-03-22,283,0,7,276
2020-03-23,192,0,4,188
2020-03-24,101,0,9,92
2020-03-25,91,0,1,90
2020-03-26,230,0,6,224
2020-03-27,192,0,2,190
2020-03-28,228,0,12,216
2020-03-29,101,0,10,91
2020-03-30,38,0,2,36
2020-03-31,278,51,15,212
2020-04-01,508,4,18,486
2020-04-02,415,7,27,381
2020-04-03,205,0,25,180
